col,row
9,8
10,9
11,9
12,9
13,9
13,10
14,10
14,11
14,12
14,13
14,14
14,15
15,15
15,16
16,16
17,16
17,17
17,18
18,18
18,19
19,19
19,20
18,20
17,20
16,20
16,21
15,21
15,22
16,22
17,22
17,21
18,21
-1,-1
17,19
16,19
15,19
14,19
14,18
14,17
14,16
15,17
16,17
16,18
15,18
-1,-1
15,20
14,20
14,21
13,21
13,20
13,19
-1,-1
12,21
13,22
14,22
-1,-1
18,17
18,16
18,15
17,15
16,15
16,14
16,13
15,13
15,14
-1,-1
15,12
15,11
16,11
16,12
17,12
17,13
18,13
18,14
17,14
-1,-1
18,12
19,11
-1,-1
13,11
12,10
11,10
-2,-2
