col,row
6,11
6,12
6,13
7,13
7,14
8,14
9,14
9,15
9,16
8,16
8,17
7,17
7,18
6,18
6,19
6,20
6,21
6,22
7,22
7,23
8,23
9,23
9,24
10,24
11,24
12,24
12,25
13,25
14,25
15,25
16,25
17,25
18,24
19,24
20,24
21,24
21,23
22,23
23,23
23,22
23,21
23,20
23,19
23,18
23,17
22,17
22,16
21,15
20,15
19,15
18,15
18,14
18,13
19,13
20,13
21,13
21,14
-1,-1
20,12
20,11
20,10
20,9
20,8
19,8
19,7
18,7
17,7
17,6
16,6
15,6
14,6
13,6
12,6
11,7
10,7
9,8
8,9
7,10
7,11
-1,-1
10,14
11,14
12,14
13,14
14,14
14,13
15,13
16,13
17,13
-2,-2
