col,row
5,14
6,15
7,16
8,17
8,18
9,18
9,17
10,17
11,17
11,16
11,15
11,14
12,14
12,13
13,12
14,12
15,12
16,12
17,12
18,12
19,12
20,12
20,13
21,13
21,12
21,11
20,11
20,10
19,10
18,10
18,9
19,9
-1,-1
19,11
18,11
17,11
16,11
15,11
16,10
17,10
-1,-1
17,13
16,13
16,14
17,15
18,15
19,15
20,15
20,14
19,14
18,14
18,13
19,13
-1,-1
19,16
18,17
18,18
17,18
16,19
15,19
14,19
13,19
12,19
11,19
11,20
12,20
12,21
13,20
14,20
-1,-1
12,18
11,18
10,18
10,19
9,19
10,20
-1,-1
12,17
12,16
12,15
-1,-1
10,15
10,16
9,16
-2,-2
