col,row
11,7
11,8
11,9
12,9
12,8
12,7
13,7
13,8
13,9
13,10
14,10
14,11
13,11
13,12
13,13
14,13
14,12
15,12
16,12
16,13
16,14
16,15
16,16
17,16
18,16
18,17
17,17
16,17
16,18
17,18
17,19
16,19
15,19
15,20
16,20
17,20
18,20
18,21
18,22
19,22
19,21
20,21
20,20
19,20
19,19
20,19
19,18
18,18
18,19
-1,-1
19,17
-1,-1
21,20
-1,-1
17,21
17,22
16,22
15,22
15,21
16,21
-1,-1
14,20
14,19
13,19
12,19
12,20
13,20
-1,-1
13,18
12,18
11,18
11,19
10,19
-1,-1
12,17
13,17
14,17
14,16
13,16
13,15
14,15
14,14
15,14
15,15
15,16
15,17
15,18
14,18
-1,-1
13,14
-1,-1
15,13
-1,-1
15,11
15,10
16,10
16,11
-1,-1
16,9
16,8
16,7
15,7
14,7
14,8
15,8
15,9
14,9
12,10
-2,-2
