col,row
22,13
21,13
20,13
19,13
18,13
18,14
17,14
16,14
16,15
15,15
15,16
15,17
15,18
14,18
14,17
13,17
13,18
13,19
14,19
15,19
16,19
16,18
16,17
17,17
17,18
17,19
17,20
16,20
15,20
14,20
14,21
15,21
15,22
16,22
17,22
17,21
18,21
-1,-1
16,21
-1,-1
13,20
-1,-1
13,16
14,16
14,15
13,15
13,14
13,13
14,13
15,13
15,12
16,12
17,12
17,11
16,11
15,11
15,10
14,10
13,10
13,11
12,11
12,10
11,10
12,9
13,9
14,9
15,9
16,10
-1,-1
14,11
14,12
13,12
12,12
-1,-1
14,14
15,14
16,13
17,13
-1,-1
17,15
17,16
16,16
-2,-2
