col,row
12,10
13,10
13,11
12,11
12,12
12,13
13,13
13,12
14,12
14,11
15,11
16,11
17,11
17,12
17,13
16,13
15,13
14,13
14,14
13,14
13,15
12,15
12,16
13,16
14,16
14,15
15,15
15,14
16,14
17,14
17,15
17,16
16,16
15,16
15,17
15,18
16,18
17,18
17,17
16,17
-1,-1
18,17
18,18
18,19
17,19
16,19
16,20
15,20
14,20
14,21
-1,-1
14,19
15,19
14,18
13,18
12,18
12,19
13,19
-1,-1
13,17
14,17
-1,-1
12,17
11,17
-1,-1
12,14
-1,-1
15,12
-1,-1
15,10
15,9
16,9
16,8
15,8
15,7
-1,-1
14,9
14,10
-1,-1
16,10
17,9
18,9
19,9
20,10
21,11
21,12
20,13
20,14
19,14
19,15
20,15
20,16
20,17
19,17
19,18
-1,-1
19,16
18,16
18,15
18,14
16,15
-2,-2
