col,row
8,10
8,11
9,11
10,11
11,11
11,10
10,10
9,10
10,9
11,9
12,9
12,10
12,11
13,11
13,12
13,13
12,13
12,12
11,12
-1,-1
12,14
12,15
13,15
14,15
14,16
15,16
15,15
16,15
17,15
17,16
16,16
16,17
15,17
15,18
16,18
17,18
17,17
18,17
18,16
18,15
19,15
20,15
21,15
21,16
20,16
20,17
19,17
19,18
20,18
21,18
21,17
22,17
22,16
22,15
-1,-1
19,16
-1,-1
18,18
18,19
19,19
20,19
19,20
18,20
17,20
16,20
16,19
15,19
15,20
15,21
16,21
17,21
-1,-1
17,19
-1,-1
14,19
14,20
-1,-1
14,18
14,17
13,16
-1,-1
13,14
14,14
15,14
16,14
15,13
14,13
14,12
14,11
14,10
13,10
13,9
14,9
-1,-1
15,11
15,12
12,8
-2,-2
