col,row
6,7
7,7
8,7
9,7
10,7
11,7
12,8
12,9
13,9
13,10
14,10
15,10
15,9
14,9
14,8
13,8
-1,-1
15,8
16,8
16,9
17,9
17,10
17,11
17,12
16,12
15,12
14,12
13,12
13,13
12,13
11,13
11,12
12,12
12,11
12,10
13,11
14,11
15,11
16,11
16,10
-1,-1
18,10
19,10
20,10
20,11
20,12
19,12
19,11
18,11
18,12
-1,-1
18,9
19,9
-1,-1
17,8
-1,-1
21,12
21,13
21,14
21,15
21,16
22,16
22,17
22,18
21,18
21,17
20,18
20,19
21,19
21,20
20,20
19,20
18,20
18,19
17,19
16,19
15,19
14,19
14,20
13,20
12,20
12,19
12,18
11,18
11,17
12,17
12,16
11,16
11,15
12,15
12,14
11,14
10,14
10,15
10,16
10,17
-1,-1
13,19
-1,-1
13,21
14,21
15,21
16,21
17,21
17,20
16,20
15,20
-1,-1
14,22
-1,-1
18,21
19,21
20,21
-1,-1
19,19
10,13
-2,-2
