col,row
9,10
10,10
10,11
11,11
11,12
12,12
13,12
13,13
12,13
13,14
14,14
14,15
14,16
15,16
16,16
16,17
15,17
14,17
14,18
14,19
15,19
16,19
17,19
18,19
19,19
19,20
18,20
18,21
18,22
19,22
19,21
20,21
21,21
21,22
20,22
-1,-1
20,20
-1,-1
18,18
18,17
18,16
18,15
17,15
17,16
17,17
17,18
16,18
15,18
-1,-1
15,20
16,20
17,20
17,21
16,21
-1,-1
16,15
16,14
17,14
18,14
18,13
19,13
20,13
20,12
-1,-1
15,14
15,15
-1,-1
14,13
14,12
14,11
14,10
13,10
13,11
12,11
12,10
12,9
11,9
11,8
12,8
13,8
13,9
14,9
-1,-1
11,10
10,9
-2,-2
